Register Name,Field Name,Bits,Type,Reset Value,Description,Note
RX_CURRENT_CREDIT_REG,,,,,,
,RESERVED, 31:4,ro,0x0,,
,RX_CURRENT_CREDIT, 3:0,ro,0x0,Current Credits available on RX Channel,
TX_CURRENT_CREDIT_REG,,,,,,
,RESERVED, 31:4,ro,0x0,,
,TX_CURRENT_CREDIT, 3:0,ro,0x0,Current Credits available on TX Channel,
INTR_FLIT_TXN_STATUS_REG,,,,,,
,RESERVED, 31:2,ro,0x0,,
,TX_FLIT_SENT, 1:1,ro,0x0,This bit represents TX Channel  has sent Flits,
,RX_FLIT_RECEIVED, 0:0,ro,0x0,This bit represents availability of Receive Data on RX Buffer,
INTR_FLIT_TXN_CLEAR_REG,,,,,,
,RESERVED, 31:1,rw,0x0,,
,CLR_INTR_FLIT_TXN,  0:0,w1sraz,0x0,Transaction Status Clearing Register.These bits are autoclear.,
INTR_FLIT_TXN_ENABLE_REG,,,,,,
,RESERVED, 31:2,rw,0x0,,
,EN_INTR_FLIT_TXN,  0:0,rw,0x0,"EN_INTR_FLIT_TXN: 

1 = enables interrupt generation if  any FLIT_TXN bit in INTR_FLIT_TXN_STATUS_REG is set
0 = disables interrupt generation if any FLIT_TXN bit in INTR_FLIT_TXN_STATUS_REG is set",
H2C_INTR_0_REG,,,,,,
,H2C_31,31,rw,0x0,"Host to Card interrupt. SW to set fields to assert corresponding interrupts
 to DUT and unset fields to de-assert corresponding interrupts to DUT.
",
,H2C_30,30,rw,0x0,, 
,H2C_29,29,rw,0x0,,
,H2C_28,28,rw,0x0,,
,H2C_27,27,rw,0x0,,
,H2C_26,26,rw,0x0,,
,H2C_25,25,rw,0x0,,
,H2C_24,24,rw,0x0,,
,H2C_23,23,rw,0x0,,
,H2C_22,22,rw,0x0,,
,H2C_21,21,rw,0x0,,
,H2C_20,20,rw,0x0,,
,H2C_19,19,rw,0x0,,
,H2C_18,18,rw,0x0,,
,H2C_17,17,rw,0x0,,
,H2C_16,16,rw,0x0,,
,H2C_15,15,rw,0x0,,
,H2C_14,14,rw,0x0,,
,H2C_13,13,rw,0x0,,
,H2C_12,12,rw,0x0,,
,H2C_11,11,rw,0x0,,
,H2C_10,10,rw,0x0,,
,H2C_9,9,rw,0x0,,
,H2C_8,8,rw,0x0,,
,H2C_7,7,rw,0x0,,
,H2C_6,6,rw,0x0,,
,H2C_5,5,rw,0x0,,
,H2C_4,4,rw,0x0,,
,H2C_3,3,rw,0x0,,
,H2C_2,2,rw,0x0,,
,H2C_1,1,rw,0x0,,
,H2C_0,0,rw,0x0,,
H2C_INTR_1_REG,,,,,,
,H2C_31,31,rw,0x0,"Host to Card interrupt. SW to set fields to assert corresponding interrupts
 to DUT and unset fields to de-assert corresponding interrupts to DUT.
",
,H2C_30,30,rw,0x0,,
,H2C_29,29,rw,0x0,,
,H2C_28,28,rw,0x0,,
,H2C_27,27,rw,0x0,,
,H2C_26,26,rw,0x0,,
,H2C_25,25,rw,0x0,,
,H2C_24,24,rw,0x0,,
,H2C_23,23,rw,0x0,,
,H2C_22,22,rw,0x0,,
,H2C_21,21,rw,0x0,,
,H2C_20,20,rw,0x0,,
,H2C_19,19,rw,0x0,,
,H2C_18,18,rw,0x0,,
,H2C_17,17,rw,0x0,,
,H2C_16,16,rw,0x0,,
,H2C_15,15,rw,0x0,,
,H2C_14,14,rw,0x0,,
,H2C_13,13,rw,0x0,,
,H2C_12,12,rw,0x0,,
,H2C_11,11,rw,0x0,,
,H2C_10,10,rw,0x0,,
,H2C_9,9,rw,0x0,,
,H2C_8,8,rw,0x0,,
,H2C_7,7,rw,0x0,,
,H2C_6,6,rw,0x0,,
,H2C_5,5,rw,0x0,,
,H2C_4,4,rw,0x0,,
,H2C_3,3,rw,0x0,,
,H2C_2,2,rw,0x0,,
,H2C_1,1,rw,0x0,,
,H2C_0,0,rw,0x0,,
H2C_INTR_2_REG,,,,,,
,H2C_31,31,rw,0x0,"Host to Card interrupt. SW to set fields to assert corresponding interrupts
 to DUT and unset fields to de-assert corresponding interrupts to DUT.
",
,H2C_30,30,rw,0x0,,
,H2C_29,29,rw,0x0,,
,H2C_28,28,rw,0x0,,
,H2C_27,27,rw,0x0,,
,H2C_26,26,rw,0x0,,
,H2C_25,25,rw,0x0,,
,H2C_24,24,rw,0x0,,
,H2C_23,23,rw,0x0,,
,H2C_22,22,rw,0x0,,
,H2C_21,21,rw,0x0,,
,H2C_20,20,rw,0x0,,
,H2C_19,19,rw,0x0,,
,H2C_18,18,rw,0x0,,
,H2C_17,17,rw,0x0,,
,H2C_16,16,rw,0x0,,
,H2C_15,15,rw,0x0,,
,H2C_14,14,rw,0x0,,
,H2C_13,13,rw,0x0,,
,H2C_12,12,rw,0x0,,
,H2C_11,11,rw,0x0,,
,H2C_10,10,rw,0x0,,
,H2C_9,9,rw,0x0,,
,H2C_8,8,rw,0x0,,
,H2C_7,7,rw,0x0,,
,H2C_6,6,rw,0x0,,
,H2C_5,5,rw,0x0,,
,H2C_4,4,rw,0x0,,
,H2C_3,3,rw,0x0,,
,H2C_2,2,rw,0x0,,
,H2C_1,1,rw,0x0,,
,H2C_0,0,rw,0x0,,
H2C_INTR_3_REG,,,,,,
,H2C_31,31,rw,0x0,"Host to Card interrupt. SW to set fields to assert corresponding interrupts
 to DUT and unset fields to de-assert corresponding interrupts to DUT.
",
,H2C_30,30,rw,0x0,,
,H2C_29,29,rw,0x0,,
,H2C_28,28,rw,0x0,,
,H2C_27,27,rw,0x0,,
,H2C_26,26,rw,0x0,,
,H2C_25,25,rw,0x0,,
,H2C_24,24,rw,0x0,,
,H2C_23,23,rw,0x0,,
,H2C_22,22,rw,0x0,,
,H2C_21,21,rw,0x0,,
,H2C_20,20,rw,0x0,,
,H2C_19,19,rw,0x0,,
,H2C_18,18,rw,0x0,,
,H2C_17,17,rw,0x0,,
,H2C_16,16,rw,0x0,,
,H2C_15,15,rw,0x0,,
,H2C_14,14,rw,0x0,,
,H2C_13,13,rw,0x0,,
,H2C_12,12,rw,0x0,,
,H2C_11,11,rw,0x0,,
,H2C_10,10,rw,0x0,,
,H2C_9,9,rw,0x0,,
,H2C_8,8,rw,0x0,,
,H2C_7,7,rw,0x0,,
,H2C_6,6,rw,0x0,,
,H2C_5,5,rw,0x0,,
,H2C_4,4,rw,0x0,,
,H2C_3,3,rw,0x0,,
,H2C_2,2,rw,0x0,,
,H2C_1,1,rw,0x0,,
,H2C_0,0,rw,0x0,,
INTR_C2H_TOGGLE_CLEAR_0_REG,,,,,,
,TOGCLR_31,31,rw,0x0,,
,TOGCLR_30,30,rw,0x0,,
,TOGCLR_29,29,rw,0x0,,
,TOGCLR_28,28,rw,0x0,,
,TOGCLR_27,27,rw,0x0,,
,TOGCLR_26,26,rw,0x0,,
,TOGCLR_25,25,rw,0x0,,
,TOGCLR_24,24,rw,0x0,,
,TOGCLR_23,23,rw,0x0,,
,TOGCLR_22,22,rw,0x0,,
,TOGCLR_21,21,rw,0x0,,
,TOGCLR_20,20,rw,0x0,,
,TOGCLR_19,19,rw,0x0,,
,TOGCLR_18,18,rw,0x0,,
,TOGCLR_17,17,rw,0x0,,
,TOGCLR_16,16,rw,0x0,,
,TOGCLR_15,15,rw,0x0,,
,TOGCLR_14,14,rw,0x0,,
,TOGCLR_13,13,rw,0x0,,
,TOGCLR_12,12,rw,0x0, ,
,TOGCLR_11,11,rw,0x0,,
,TOGCLR_10,10,rw,0x0,,
,TOGCLR_9,9,rw,0x0,,
,TOGCLR_8,8,rw,0x0,,
,TOGCLR_7,7,rw,0x0,,
,TOGCLR_6,6,rw,0x0,,
,TOGCLR_5,5,rw,0x0,,
,TOGCLR_4,4,rw,0x0,,
,TOGCLR_3,3,rw,0x0,,
,TOGCLR_2,2,rw,0x0,,
,TOGCLR_1,1,rw,0x0,,
,TOGCLR_0,0,rw,0x0,,
INTR_C2H_TOGGLE_CLEAR_1_REG,,,,, ,
,TOGCLR_31,31,rw,0x0,,
,TOGCLR_30,30,rw,0x0,,
,TOGCLR_29,29,rw,0x0,,
,TOGCLR_28,28,rw,0x0,,
,TOGCLR_27,27,rw,0x0,,
,TOGCLR_26,26,rw,0x0,,
,TOGCLR_25,25,rw,0x0,,
,TOGCLR_24,24,rw,0x0,,
,TOGCLR_23,23,rw,0x0,,
,TOGCLR_22,22,rw,0x0,,
,TOGCLR_21,21,rw,0x0,,
,TOGCLR_20,20,rw,0x0,,
,TOGCLR_19,19,rw,0x0,,
,TOGCLR_18,18,rw,0x0,,
,TOGCLR_17,17,rw,0x0,,
,TOGCLR_16,16,rw,0x0,,
,TOGCLR_15,15,rw,0x0,,
,TOGCLR_14,14,rw,0x0,,
,TOGCLR_13,13,rw,0x0,,
,TOGCLR_12,12,rw,0x0,,
,TOGCLR_11,11,rw,0x0,,
,TOGCLR_10,10,rw,0x0,,
,TOGCLR_9,9,rw,0x0,,
,TOGCLR_8,8,rw,0x0,,
,TOGCLR_7,7,rw,0x0,,
,TOGCLR_6,6,rw,0x0,,
,TOGCLR_5,5,rw,0x0,,
,TOGCLR_4,4,rw,0x0,,
,TOGCLR_3,3,rw,0x0,,
,TOGCLR_2,2,rw,0x0,,
,TOGCLR_1,1,rw,0x0,,
,TOGCLR_0,0,rw,0x0,,
INTR_C2H_TOGGLE_ENABLE_0_REG,,,,,,
,TOGENA_31,31,rw,0x0,,
,TOGENA_30,30,rw,0x0,,
,TOGENA_29,29,rw,0x0,,
,TOGENA_28,28,rw,0x0,,
,TOGENA_27,27,rw,0x0,,
,TOGENA_26,26,rw,0x0,,
,TOGENA_25,25,rw,0x0,,
,TOGENA_24,24,rw,0x0,,
,TOGENA_23,23,rw,0x0,,
,TOGENA_22,22,rw,0x0,,
,TOGENA_21,21,rw,0x0,,
,TOGENA_20,20,rw,0x0,,
,TOGENA_19,19,rw,0x0,,
,TOGENA_18,18,rw,0x0,,
,TOGENA_17,17,rw,0x0,,
,TOGENA_16,16,rw,0x0,,
,TOGENA_15,15,rw,0x0,,
,TOGENA_14,14,rw,0x0,,
,TOGENA_13,13,rw,0x0,,
,TOGENA_12,12,rw,0x0, ,
,TOGENA_11,11,rw,0x0,,
,TOGENA_10,10,rw,0x0,,
,TOGENA_9,9,rw,0x0,,
,TOGENA_8,8,rw,0x0,,
,TOGENA_7,7,rw,0x0,,
,TOGENA_6,6,rw,0x0,,
,TOGENA_5,5,rw,0x0,,
,TOGENA_4,4,rw,0x0,,
,TOGENA_3,3,rw,0x0,,
,TOGENA_2,2,rw,0x0,,
,TOGENA_1,1,rw,0x0,,
,TOGENA_0,0,rw,0x0,,
INTR_C2H_TOGGLE_ENABLE_1_REG,,,,,,
,TOGENA_31,31,rw,0x0, ,
,TOGENA_30,30,rw,0x0,,
,TOGENA_29,29,rw,0x0,,
,TOGENA_28,28,rw,0x0,,
,TOGENA_27,27,rw,0x0,,
,TOGENA_26,26,rw,0x0,,
,TOGENA_25,25,rw,0x0,,
,TOGENA_24,24,rw,0x0,,
,TOGENA_23,23,rw,0x0,,
,TOGENA_22,22,rw,0x0,,
,TOGENA_21,21,rw,0x0,,
,TOGENA_20,20,rw,0x0,,
,TOGENA_19,19,rw,0x0,,
,TOGENA_18,18,rw,0x0,,
,TOGENA_17,17,rw,0x0,,
,TOGENA_16,16,rw,0x0,,
,TOGENA_15,15,rw,0x0,,
,TOGENA_14,14,rw,0x0,,
,TOGENA_13,13,rw,0x0,,
,TOGENA_12,12,rw,0x0,,
,TOGENA_11,11,rw,0x0,,
,TOGENA_10,10,rw,0x0,,
,TOGENA_9,9,rw,0x0,,
,TOGENA_8,8,rw,0x0,,
,TOGENA_7,7,rw,0x0,,
,TOGENA_6,6,rw,0x0,,
,TOGENA_5,5,rw,0x0,,
,TOGENA_4,4,rw,0x0,,
,TOGENA_3,3,rw,0x0,,
,TOGENA_2,2,rw,0x0,,
,TOGENA_1,1,rw,0x0,,
,TOGENA_0,0,rw,0x0,,
C2H_GPIO_0_REG,,,,,,
,C2H_GPIO_0_31,31,ro,0x0,,
,C2H_GPIO_0_30,30,ro,0x0,,
,C2H_GPIO_0_29,29,ro,0x0,,
,C2H_GPIO_0_28,28,ro,0x0,,
,C2H_GPIO_0_27,27,ro,0x0,,
,C2H_GPIO_0_26,26,ro,0x0,,
,C2H_GPIO_0_25,25,ro,0x0,,
,C2H_GPIO_0_24,24,ro,0x0,,
,C2H_GPIO_0_23,23,ro,0x0,,
,C2H_GPIO_0_22,22,ro,0x0,,
,C2H_GPIO_0_21,21,ro,0x0,,
,C2H_GPIO_0_20,20,ro,0x0,,
,C2H_GPIO_0_19,19,ro,0x0,,
,C2H_GPIO_0_18,18,ro,0x0,,
,C2H_GPIO_0_17,17,ro,0x0,,
,C2H_GPIO_0_16,16,ro,0x0,,
,C2H_GPIO_0_15,15,ro,0x0,,
,C2H_GPIO_0_14,14,ro,0x0,,
,C2H_GPIO_0_13,13,ro,0x0,,
,C2H_GPIO_0_12,12,ro,0x0,,
,C2H_GPIO_0_11,11,ro,0x0,,
,C2H_GPIO_0_10,10,ro,0x0,,
,C2H_GPIO_0_9,9,ro,0x0,,
,C2H_GPIO_0_8,8,ro,0x0,,
,C2H_GPIO_0_7,7,ro,0x0,,
,C2H_GPIO_0_6,6,ro,0x0,,
,C2H_GPIO_0_5,5,ro,0x0,,
,C2H_GPIO_0_4,4,ro,0x0,,
,C2H_GPIO_0_3,3,ro,0x0,,
,C2H_GPIO_0_2,2,ro,0x0,,
,C2H_GPIO_0_1,1,ro,0x0,,
,C2H_GPIO_0_0,0,ro,0x0,,
C2H_GPIO_1_REG,,,,,,
,C2H_GPIO_1_31,31,ro,0x0,,
,C2H_GPIO_1_30,30,ro,0x0,,
,C2H_GPIO_1_29,29,ro,0x0,,
,C2H_GPIO_1_28,28,ro,0x0,,
,C2H_GPIO_1_27,27,ro,0x0,,
,C2H_GPIO_1_26,26,ro,0x0,,
,C2H_GPIO_1_25,25,ro,0x0,,
,C2H_GPIO_1_24,24,ro,0x0,,
,C2H_GPIO_1_23,23,ro,0x0,,
,C2H_GPIO_1_22,22,ro,0x0,,
,C2H_GPIO_1_21,21,ro,0x0,,
,C2H_GPIO_1_20,20,ro,0x0,,
,C2H_GPIO_1_19,19,ro,0x0,,
,C2H_GPIO_1_18,18,ro,0x0,,
,C2H_GPIO_1_17,17,ro,0x0,,
,C2H_GPIO_1_16,16,ro,0x0,,
,C2H_GPIO_1_15,15,ro,0x0,,
,C2H_GPIO_1_14,14,ro,0x0,,
,C2H_GPIO_1_13,13,ro,0x0,,
,C2H_GPIO_1_12,12,ro,0x0,,
,C2H_GPIO_1_11,11,ro,0x0,,
,C2H_GPIO_1_10,10,ro,0x0,,
,C2H_GPIO_1_9,9,ro,0x0,,
,C2H_GPIO_1_8,8,ro,0x0,,
,C2H_GPIO_1_7,7,ro,0x0,,
,C2H_GPIO_1_6,6,ro,0x0,,
,C2H_GPIO_1_5,5,ro,0x0,,
,C2H_GPIO_1_4,4,ro,0x0,,
,C2H_GPIO_1_3,3,ro,0x0,,
,C2H_GPIO_1_2,2,ro,0x0,,
,C2H_GPIO_1_1,1,ro,0x0,,
,C2H_GPIO_1_0,0,ro,0x0,,
C2H_GPIO_2_REG,,,,,,
,C2H_GPIO_2_31,31,ro,0x0,,
,C2H_GPIO_2_30,30,ro,0x0,,
,C2H_GPIO_2_29,29,ro,0x0,,
,C2H_GPIO_2_28,28,ro,0x0,,
,C2H_GPIO_2_27,27,ro,0x0,,
,C2H_GPIO_2_26,26,ro,0x0,,
,C2H_GPIO_2_25,25,ro,0x0,,
,C2H_GPIO_2_24,24,ro,0x0,,
,C2H_GPIO_2_23,23,ro,0x0,,
,C2H_GPIO_2_22,22,ro,0x0,,
,C2H_GPIO_2_21,21,ro,0x0,,
,C2H_GPIO_2_20,20,ro,0x0,,
,C2H_GPIO_2_19,19,ro,0x0,,
,C2H_GPIO_2_18,18,ro,0x0,,
,C2H_GPIO_2_17,17,ro,0x0,,
,C2H_GPIO_2_16,16,ro,0x0,,
,C2H_GPIO_2_15,15,ro,0x0,,
,C2H_GPIO_2_14,14,ro,0x0,,
,C2H_GPIO_2_13,13,ro,0x0,,
,C2H_GPIO_2_12,12,ro,0x0,,
,C2H_GPIO_2_11,11,ro,0x0,,
,C2H_GPIO_2_10,10,ro,0x0,,
,C2H_GPIO_2_9,9,ro,0x0,,
,C2H_GPIO_2_8,8,ro,0x0,,
,C2H_GPIO_2_7,7,ro,0x0,,
,C2H_GPIO_2_6,6,ro,0x0,,
,C2H_GPIO_2_5,5,ro,0x0,,
,C2H_GPIO_2_4,4,ro,0x0,,
,C2H_GPIO_2_3,3,ro,0x0,,
,C2H_GPIO_2_2,2,ro,0x0,,
,C2H_GPIO_2_1,1,ro,0x0,,
,C2H_GPIO_2_0,0,ro,0x0,,
C2H_GPIO_3_REG,,,,,,
,C2H_GPIO_3_31,31,ro,0x0,,
,C2H_GPIO_3_30,30,ro,0x0,,
,C2H_GPIO_3_29,29,ro,0x0,,
,C2H_GPIO_3_28,28,ro,0x0,,
,C2H_GPIO_3_27,27,ro,0x0,,
,C2H_GPIO_3_26,26,ro,0x0,,
,C2H_GPIO_3_25,25,ro,0x0,,
,C2H_GPIO_3_24,24,ro,0x0,,
,C2H_GPIO_3_23,23,ro,0x0,,
,C2H_GPIO_3_22,22,ro,0x0,,
,C2H_GPIO_3_21,21,ro,0x0,,
,C2H_GPIO_3_20,20,ro,0x0,,
,C2H_GPIO_3_19,19,ro,0x0,,
,C2H_GPIO_3_18,18,ro,0x0,,
,C2H_GPIO_3_17,17,ro,0x0,,
,C2H_GPIO_3_16,16,ro,0x0,,
,C2H_GPIO_3_15,15,ro,0x0,,
,C2H_GPIO_3_14,14,ro,0x0,,
,C2H_GPIO_3_13,13,ro,0x0,,
,C2H_GPIO_3_12,12,ro,0x0,,
,C2H_GPIO_3_11,11,ro,0x0,,
,C2H_GPIO_3_10,10,ro,0x0,,
,C2H_GPIO_3_9,9,ro,0x0,,
,C2H_GPIO_3_8,8,ro,0x0,,
,C2H_GPIO_3_7,7,ro,0x0,,
,C2H_GPIO_3_6,6,ro,0x0,,
,C2H_GPIO_3_5,5,ro,0x0,,
,C2H_GPIO_3_4,4,ro,0x0,,
,C2H_GPIO_3_3,3,ro,0x0,,
,C2H_GPIO_3_2,2,ro,0x0,,
,C2H_GPIO_3_1,1,ro,0x0,,
,C2H_GPIO_3_0,0,ro,0x0,,
C2H_GPIO_4_REG,,,,,,
,C2H_GPIO_4_31,31,ro,0x0,,
,C2H_GPIO_4_30,30,ro,0x0,,
,C2H_GPIO_4_29,29,ro,0x0,,
,C2H_GPIO_4_28,28,ro,0x0,,
,C2H_GPIO_4_27,27,ro,0x0,,
,C2H_GPIO_4_26,26,ro,0x0,,
,C2H_GPIO_4_25,25,ro,0x0,,
,C2H_GPIO_4_24,24,ro,0x0,,
,C2H_GPIO_4_23,23,ro,0x0,,
,C2H_GPIO_4_22,22,ro,0x0,,
,C2H_GPIO_4_21,21,ro,0x0,,
,C2H_GPIO_4_20,20,ro,0x0,,
,C2H_GPIO_4_19,19,ro,0x0,,
,C2H_GPIO_4_18,18,ro,0x0,,
,C2H_GPIO_4_17,17,ro,0x0,,
,C2H_GPIO_4_16,16,ro,0x0,,
,C2H_GPIO_4_15,15,ro,0x0,,
,C2H_GPIO_4_14,14,ro,0x0,,
,C2H_GPIO_4_13,13,ro,0x0,,
,C2H_GPIO_4_12,12,ro,0x0,,
,C2H_GPIO_4_11,11,ro,0x0,,
,C2H_GPIO_4_10,10,ro,0x0,,
,C2H_GPIO_4_9,9,ro,0x0,,
,C2H_GPIO_4_8,8,ro,0x0,,
,C2H_GPIO_4_7,7,ro,0x0,,
,C2H_GPIO_4_6,6,ro,0x0,,
,C2H_GPIO_4_5,5,ro,0x0,,
,C2H_GPIO_4_4,4,ro,0x0,,
,C2H_GPIO_4_3,3,ro,0x0,,
,C2H_GPIO_4_2,2,ro,0x0,,
,C2H_GPIO_4_1,1,ro,0x0,,
,C2H_GPIO_4_0,0,ro,0x0,,
C2H_GPIO_5_REG,,,,,,
,C2H_GPIO_5_31,31,ro,0x0,,
,C2H_GPIO_5_30,30,ro,0x0,,
,C2H_GPIO_5_29,29,ro,0x0,,
,C2H_GPIO_5_28,28,ro,0x0,,
,C2H_GPIO_5_27,27,ro,0x0,,
,C2H_GPIO_5_26,26,ro,0x0,,
,C2H_GPIO_5_25,25,ro,0x0,,
,C2H_GPIO_5_24,24,ro,0x0,,
,C2H_GPIO_5_23,23,ro,0x0,,
,C2H_GPIO_5_22,22,ro,0x0,,
,C2H_GPIO_5_21,21,ro,0x0,,
,C2H_GPIO_5_20,20,ro,0x0,,
,C2H_GPIO_5_19,19,ro,0x0,,
,C2H_GPIO_5_18,18,ro,0x0,,
,C2H_GPIO_5_17,17,ro,0x0,,
,C2H_GPIO_5_16,16,ro,0x0,,
,C2H_GPIO_5_15,15,ro,0x0,,
,C2H_GPIO_5_14,14,ro,0x0,,
,C2H_GPIO_5_13,13,ro,0x0,,
,C2H_GPIO_5_12,12,ro,0x0,,
,C2H_GPIO_5_11,11,ro,0x0,,
,C2H_GPIO_5_10,10,ro,0x0,,
,C2H_GPIO_5_9,9,ro,0x0,,
